2019-06-12.04.35.29 curl -X POST -H 'Content-Type: multipart/form-data' 	-F 'gps=0.0,0.0' 	-F 'detected_object=' 	-F 'app_id=1234' 	-F 'app_token=42134' 	-F "files=@/home/samson/images/d20190610-074446_0000001996.jpg" 	-F 'simple_form=1' https://jetson-nano.mail2you.net/server/php/index.php 

2019-06-12.04.35.55 curl -X POST -H 'Content-Type: multipart/form-data' 	-F 'gps=0.0,0.0' 	-F 'detected_object=person43%,person42%,person42%,person41%' 	-F 'app_id=1234' 	-F 'app_token=42134' 	-F "files=@/home/samson/images/d20190610-074446_0000001996.jpg" 	-F 'simple_form=1' https://jetson-nano.mail2you.net/server/php/index.php 

2019-06-12.04.38.00 curl -X POST -H 'Content-Type: multipart/form-data' 	-F 'gps=0.0,0.0' 	-F 'detected_object=person43%,person42%,person42%,person41%' 	-F 'app_id=1234' 	-F 'app_token=42134' 	-F "files=@/home/samson/images/d20190610-074446_0000001996.jpg" 	-F 'simple_form=1' https://jetson-nano.mail2you.net/server/php/index.php 

2019-06-12.04.38.42 curl -X POST -H 'Content-Type: multipart/form-data' 	-F 'gps=0.0,0.0' 	-F 'detected_object=person43%,person42%,person42%,person41%' 	-F 'app_id=1234' 	-F 'app_token=42134' 	-F 'files=@/home/samson/images/d20190610-074446_0000001996.jpg' 	-F 'simple_form=1' https://jetson-nano.mail2you.net/server/php/index.php 

2019-06-12.04.40.59 curl -X POST -H 'Content-Type: multipart/form-data' 	-F 'gps=0.0,0.0' 	-F 'detected_object=ok' 	-F 'app_id=1234' 	-F 'app_token=42134' 	-F 'files=@nice' 	-F 'simple_form=1' https://jetson-nano.mail2you.net/server/php/index.php \n
2019-06-12.04.41.15 curl -X POST -H 'Content-Type: multipart/form-data' 	-F 'gps=0.0,0.0' 	-F 'detected_object=ok_nice' 	-F 'app_id=1234' 	-F 'app_token=42134' 	-F 'files=@/home/samson/images/d20190610-080932_0000000002.jpg' 	-F 'simple_form=1' https://jetson-nano.mail2you.net/server/php/index.php \n
